accessibility	даступнасьць
AccountAuthenticators	АпазнавальнікіРахунку
AccountManagerService	СлужбаКіравацьРахункам
AccountManager	КіраўнікРахункаў
Accounts & sync	Рахункі ды сынхранізаваньне
Accounts&Sync	Рахункі ды сынхранізаваньне
accounts	рахункі
account	рахунак
activities	дзейнасьці
activity	дзейнасьць
Additional Privacy Policy	дадатковыя правілы адасобленасьці
adjust	настаўляць
administration	кіраваньне
administration	кіраўніцтва
administrators	кіраўнікі
administrator	кіраўнік
advanced	адмысловы	
ADW.Launcher	Пускач ADW
again	зноўку
alarm	будзька
alerts	папярэджаньні
alert	папярэджаньне
always	заўжды
animated	ажыўляць
animations	ажыўленьні
animation	ажыўленьне
APN	пункт доступу
applications	праграмы
application	праграма
apply	ужыць
apps	праграмы
app	праграма
archive	архіваваць
Are you sure you want to	Ці ўпэўненыя вы, што хочаце
attachments	залучнікі
attachment	залучнік -а
attach	залучаць
attention	увага
audible	чутны
authenticating	апазнаваньне
authentication	апазнаваньне
authenticator	апазнавальнік
automatically	самарушна
auto-refresh	самарушна абнаўляцца
auto	самарушна
awake time	дзейны час
backed up	захавалі адноўку
background data	злучацца на заднім пляне
background	задні плян
background	тло
backup	адноўка
back up	захаваць адноўку
Back	«Назад»
bad	кепскі
band	паласа
batch	зборны
battery level	узровень зараду батарэі
battery	батарэя
bcc	сьляпая копія (СК; «blind carbon copy»)
Begin	«Пачаць»	
block	затрымваць
blogger	блогер -а	Blogger
Bluetooth	Bluetooth
BluetoothShare manager	кіраўнік дзяліцца па Bluetooth
bookmarks	закладкі
bookmark	закладка
booting	першагрузіцца
booting	першагрузка
boot	першагрузіцца
brightness	яркасьць
broadcast	рассылаць
browser	аглядальнік
build	зборка
buttons	кнопкі
caches	запасьнікі
cache	запасьнік
call-forwarding	перасылаць выклікі
call log	гісторыя выклікаў
calls	выклікі
call	выклік
call	выклікаць
Cancel	Скасаваць
cannot	нельга
car mode	стан «у машыне»
carrier	апэратар
cc	копія («carbon copy»)
certificates	пасьведчаньні
certificate	пасьведчаньне
charger	зарада
charging	зараджаецца
chats	гамана
chats	гамана
Checkout	Каса
CID	азначальнік ячэйкі («Cell Identification», «Cell ID»)
clipboard	кішэня
close	зачыняць
closing	зачыняецца
Cloud to Device	абмен між воблакам і прыладаю
coarse	грубы
codec	кодэк
columns	слупкі
comments	выказваньні
comments	заўвагі
comment	выказацца
comment	заўвага
component	складнік
composer	укладальнік
computer	кампутар
conference call	выклік да нарады
conference	нарада
configuration	настаўленьне
configured	наставілі
configure	настаўляць
connected	злучыліся
connecting	злучаемся
container	зьмяшчальня
content	зьмесьціва	
Continue	Працягваць
contributors	саўдзельнікі
contributor	саўдзельнік
conversations	размовы
conversation	размова
cookie	бірка	
copy	перапісваць
correct	адпаведны
could not	нельга
could not	не магчы
could not	ня здолець
couldn\'t	нельга
county	акруга
credentials	даверчыя лісты
Customer Care	служба падтрымкі
databases	базы зьвестак
data	дадзеныя
data	зьвесткі
declined	адмовілі
declined	адхілілі
decline	адмовіць
decline	адхіліць
default screen	пачатковы экран
delete	выдаляць
desktop	стольніца
details	падрабязнасьці
detected	выявілі
detect	выяўляць
developer	распрацоўнік
development	распрацоўніцтва
devices	прылады
device	прылада
dial pad	наборнік
dial	набіраць
discard	адкідаць
discharging	разраджаецца
disconnected	адлучыліся
disconnecting	адлучаемся
discoverability	бачнасьць
DockBar	латок-паліца
dock	латок
domain	вузел
downloaded	сьцягвалі
downloaded	сьцягнутыя
downloader	сьцягвальнік
Download Manager	Кіраўнік сьцягванага
downloads	сьцягванае
download	сьцягваць
Do you want	Ці хочаце вы
drag left	перацягніце налева
drag right	перацягніце направа
drag	перацягваць
drawer	рысавальнік
DTMF tones	танальныя сыгналы
email arrives	прыходзіць пошта
email	эл. пошта
emergency	надзвычайны
emoticon	пачуцьцезнак
enable/disable	ці карыстацца
encryption	тайнапіс
engines	рухавікі
engine	рухавік
entered	упісалі
enterprise	прадпрыемства
enter	упісваць
error occured	выявілася памылка
error occured	далі хібу
error occured	здарылася памылка
error occurred	далі хібу
error	памылка
error	хіба
export	вымаць
external	вонкавы
failed	не ўдалося
favorites	улюбёныя
favorite	улюбёны
FDN	замацаваныя нумары (ЗН)
feature code	код уласьцівасьці
featured	прыкмечаныя
features	функцыі
feedback	водгук
feeds	жывільнікі
feed	жывільнік
fetching	атрымваецца
fetch	атрымваць
firewall	сетказаслона
flashlight	ліхтарык
folders	каталёгі
folder	каталёг
format	разьмячаць
for more information	каб даведацца болей
form	блянк
forwarding	перасылаецца
forwarding	перасыланьне
forward	перасылаць
frame	кадр
gateway	брама
general	галоўны
geolocation	вызначаць геаграфічнае мейсца
Google	Google
Google Mail	Пошта Google	
Google Messaging Service	служба паведамленьняў Google	
Google Talk	Гутарка Google	
guests	запрошаныя
handle	апрацоўваць
handset	тэлефонная слухаўка
haptic feedback	водгук па дотыку
haptic	дотыкавы
hardware	прыстасаваньні
home button	кнопка «дамоў»
home screen	галоўны экран
hotspot	адметны пункт
icons	значкі
icon	значак
identity	тоеснасьць
ID	азначальнік
images	відарысы
image	відарыс
import	браць
IM	паведамляльнік
inappropriate	неадпаведнае
incorrect	неадпаведны
indicator	паказальнік
inflate	напаўняць
inflating	напаўняць
insert	усоўваць (картку)
insert	устаўляць (тэкст)
installation	ўсталёўваць
installed	усталявалі
install	усталёўваць
instant	хуткі	
invalid	хібны
IP	адрас IP
junk	лухта
kernel	ядро
keyboard	клявіятура
labels	цэтлікі
label	цэтлік
